Surface,Route,Current Audio,Sponsor Audio Opportunity,Opportunity Type,Revenue Impact,Implementation Complexity,User Value,Status
Game Shows,/games/[id],"Correct/Incorrect/Winner sounds","Sponsor sonic logo + announcer intro: 'Powered by [Sponsor]'",Sonic Branding + Commentary,HIGH,MEDIUM,"Reinforces sponsor presence during high-engagement moments",READY
Monthly Idol,/vote/idol,"Host dialogue + crowd + results sounds","Sponsor ID in host commentary + judge intro + commercial break before voting",Integrated Commentary + Commercial Break,VERY HIGH,HIGH,"Official event, premium positioning, continuous sponsor mention",READY
Battle Arena,/battles/live,"Battle sting + crowd + voting sounds","Sponsor sonic logo before round start sting; battle intro includes sponsor name",Sonic Branding + Intro,HIGH,MEDIUM,"High-frequency sponsor exposure, emotional peak moments",READY
Cypher Arena,/cypher/create,"Round sounds + crowd + rotation","Sponsor tag on cypher start + 'Brought to you by' between rounds",Intro + Transitions,HIGH,MEDIUM,"Rotation-based events, natural sponsor messaging points",READY
Challenge Arena,/challenges/[id],"Challenge start + timing + results","Sponsor name in challenge brief + sonic logo on start/finish",Narration + Sonic,MEDIUM,MEDIUM,"Shorter events, high-intensity moments",READY
Radio Stations,/radio/[genre],"DJ placeholder + music + transitions","Full integration: DJ intro mentions sponsor, commercial break (30-60s), sponsor mentions in transitions",DJ Commentary + Commercial Break + Transitions,VERY HIGH,HIGH,"Rule 25 infrastructure, every 15-20 min exposure, highly monetizable",PLANNED
Live Rooms,/live/rooms/[id],"Crowd ambience + host if present","Host welcome includes sponsor + sponsor audio cue on room entry + exit stings",Entry/Exit + Ongoing,MEDIUM,HIGH,"Every audience member hears sponsor, continuous exposure",READY
World Concert,/concerts/[id],"Concert intro + stage audio + transitions","Sponsor sonic logo in stage intro + stage lighting sponsor branding + transition stings",Sonic Branding + Visual,HIGH,MEDIUM,"Premium event, emotional performance moments, strong association",READY
Battles (Voting),/battles/live,"Vote feedback sounds","Sponsor sting before vote results announced",Vote Moment,MEDIUM,LOW,"High-frequency trigger, every vote is a sponsor touch",READY
Dirty Dozens,/dirty-dozens,"Tournament sounds + bracket transitions","Sponsor ID at tournament start + sponsor announcer in round transitions + finalist intro",Tournament Structure,HIGH,MEDIUM,"Championship energy, natural sponsor positioning",READY
Game Show Winner,/games/[id],"Winner bell + coins + celebration","Sponsor celebrates the win: 'Congratulations, winner brought to you by [Sponsor]'",Celebration Commentary,MEDIUM,MEDIUM,"Peak emotional moment, memorable sponsor association",READY
Avatar Lobby Customization,/live/lobby,"UI feedback sounds","Sponsor audio plays when using sponsor-branded avatar cosmetics (optional, non-intrusive)",Product Integration,LOW,HIGH,"Opt-in sponsor mention, light touch",READY
Playlist Playback,/playlist or personal,"Song playback only","Sponsor intro/outro if using sponsored playlist skin (already built)",Playlist Customization,LOW,LOW,"Already implemented in PlaylistArtifactEngine",READY
Memory Wall,/memory,"Moment capture sound","Sponsor audio cue when capturing memory from sponsor-related events",Event Tie-In,LOW,MEDIUM,"Contextual, non-intrusive, event-specific",PLANNED
Fan Hub,/hub/fan,"Discovery sounds + opportunity dock","Sponsor audio in opportunity dock notifications + discovery rail intros",Notification + Discovery,MEDIUM,MEDIUM,"Fan engagement surface, multiple sponsor touches",READY
Performer Hub,/hub/performer,"Opportunity dock sounds + GO LIVE","Sponsor audio in go-live confirmation + booking confirmation","Transaction Confirmation + Real-World Payoff",MEDIUM,MEDIUM,"Performer revenue surface, high-value moments",READY
Chat Notifications,/live/rooms/[id] or /messaging,"Message alert sounds","Sponsor audio for premium chat (if subscribed to sponsor's brand channel)",Subscription Tie-In,LOW,HIGH,"Opt-in, premium feature, low-friction",PLANNED
World Dance Party,/dance-party/[id],"DJ + dance floor + music","Sponsor intro in DJ welcome + dance mode name includes sponsor (e.g. 'powered by')","DJ Integration + Branding",HIGH,MEDIUM,"Participatory event, continuous engagement, DJ voice is repeatable exposure",READY
Merchandise Store,/shop/[slug],"UI + purchase confirmation","Sponsor audio on purchase: 'Thanks for your order, completed by [Sponsor]'",Purchase Confirmation,LOW,MEDIUM,"Transaction confirmation, light touch",PLANNED
Ticket Checkout,/checkout,"Stripe payment only","Minimal: light sponsor audio on confirm (maintain checkout focus)",Minimal Sponsor Integration,LOW,LOW,"Financial transaction, maintain trust, very light integration",READY
Battles Scoreboard,/battles/live (overlay),"Score update sounds","Sponsor audio plays on score milestone (e.g. every 10 points), +sponsor logo flash",Score Tracking,MEDIUM,MEDIUM,"Continuous during competition, non-intrusive timing",READY
Rankings Page,/charts or /vote/rank/4,"Leaderboard load + rank update","Sponsor intro to top-10 announcement + rank milestone sounds (new top 10, new top 5, new #1)",Ranking Moments,MEDIUM,MEDIUM,"Aspirational content, emotional moments", READY
Magazine Article Feature,/magazine/article/[slug],"Page load ambience only","Sponsor audio in article intro + sponsor feature bio read-through (text-to-speech possibility)",Article Intro + Bio,LOW,HIGH,"Magazine premium positioning, sponsored article content",PLANNED
Spotlight Page,/spotlight,"Featured performer intro","Sponsor name in featured performer intro + sponsor sonic logo",Intro Integration,MEDIUM,LOW,"Featured content, premium positioning",READY
Invite & Onboarding,/invite/[token],"Welcome sounds","Sponsor audio on successful invite completion (if referred by sponsor program)",Referral Confirmation,LOW,MEDIUM,"Acquisition event, light touch",PLANNED
Birthday / Milestone,/profile/[slug] (milestone trigger),"Celebration ambient","Sponsor audio in birthday/milestone celebration (if birthday user has opted in)",Celebration Moment,LOW,MEDIUM,"Personal moment, opt-in only, sensitive",PLANNED
Broadcast Preview,/home/1-2 (video wall),"Silent or ambient","Sponsor audio cue at preview start (5% volume) + sponsor branding on video overlay",Preview Integration,MEDIUM,HIGH,"Discovery surface, high-traffic area, sponsor exposure on broadcast previews",READY
Commercial Break Placeholder,/radio/[genre] or /home/3,"N/A currently","30-60 second sponsor audio integrated into radio playlist + live-room commercial pods",Dedicated Commercial Slot,VERY HIGH,HIGH,"Purpose-built commercial infrastructure, highest sponsor value, Rule 25 mechanism",PLANNED
Audio Notification - New Live,N/A (push),"Device notification tone only","Sponsor audio in notification (if live room is in sponsor category or sponsored event)",Push Notification Audio,LOW,HIGH,"Out-of-app reach, native OS integration",PLANNED
