Category,System A,Status A,System B,Status B,Canonical Choice,Rationale,Merge Priority,Evidence,Conversion Complexity
Playlist/Media,PlaylistEngine.ts,ACTIVE,PlaylistPlayer.tsx,ACTIVE,PlaylistEngine (backend) + PlaylistPlayer (UI wrapper),Backend engine handles logic; UI is thin wrapper. Keep both but ensure single source of truth for metadata.,MEDIUM,"PlaylistEngine: lib/media/PlaylistEngine.ts; PlaylistPlayer: components/media/PlaylistPlayer.tsx","Split data model: PlaylistEngine owns DB/state, PlaylistPlayer owns render only"
Playlist/Media,MediaPlayer.tsx,ACTIVE,TripleMediaPanel.tsx,ORPHAN_DRAFT,MediaPlayer (canonical),MediaPlayer is actively used; TripleMediaPanel is experimental draft from earlier iteration. Delete TripleMediaPanel.,HIGH,"MediaPlayer used in 12+ surfaces; TripleMediaPanel only in admin draft routes","Delete TripleMediaPanel.tsx entirely (no active users)"
Avatar System,AvatarCreator.tsx,ACTIVE,AvatarCustomizer.tsx,ACTIVE,AvatarCreator (canonical),AvatarCreator is main entry point; AvatarCustomizer is refinement UI. Ensure data sync.,MEDIUM,"AvatarCreator: components/AvatarCreator.tsx; AvatarCustomizer: components/AvatarCustomizer.tsx","Merge customizer as child flow within creator"
Avatar System,AvatarLobbyCanvas.tsx,CONFLICT (3 copies),AvatarLobbyCanvas.tsx,CONFLICT (3 copies),Audit and consolidate into one,Found 3 identical files in different directories. Consolidate to single canonical location.,CRITICAL,"Found at: components/avatars/, components/lobbies/, apps/web/src/components/","Move to components/avatars/AvatarLobbyCanvas.tsx; update all imports; delete duplicates"
Audience/Seating,audienceRuntimeEngine.ts,ACTIVE,SeatingMeshEngine.ts,ACTIVE,audienceRuntimeEngine (canonical) + inherit SeatingMeshEngine capabilities,Converged 2026-06-20: SeatingMeshEngine had seat-reclaim + client-persist capabilities missing from canonical. Inherited into canonical via useSeatSession hook.,COMPLETED,"audienceRuntimeEngine: lib/live/audienceRuntimeEngine.ts; SeatingMeshEngine capabilities inherited; /api/live/seat-presence merged","Already converged in Phase 1 (2026-06-20)"
Audience/Seating,tmiFanAvatarSeatAssignment.ts,ACTIVE,tmiAudienceSeatPresenceEngine.ts,ACTIVE,Converge into audienceRuntimeEngine (canonical),Both are thin wrappers around audienceRuntimeEngine. Delete duplicates; import canonical directly.,HIGH,"Both in lib/live/; verify no unique logic","Delete thin wrappers; update all callers to use audienceRuntimeEngine"
Audience/Seating,ShowRoomEnvironmentShell.tsx,ACTIVE,ArenaEventShell.tsx,ACTIVE,ArenaEventShell (canonical) for battles/cyphers/challenges; ShowRoomEnvironmentShell (legacy) for Monthly Idol only,ShowRoomEnvironmentShell uses custom occupancy-percent model (no seat objects). Low priority to converge; isolate Monthly Idol usage only.,LOW,"ShowRoomEnvironmentShell: components/shows/; ArenaEventShell: components/events/","Document as Monthly Idol-specific; mark ShowRoomEnvironmentShell as Legacy; prioritize conversion post-launch"
Discovery,DiscoveryRail.tsx,ACTIVE,DiscoveryRailCanonical.tsx,ACTIVE,DiscoveryRailCanonical (newer),Canonicalization Phase 1 built DiscoveryRailCanonical as unified version. Replace all DiscoveryRail calls with DiscoveryRailCanonical.,MEDIUM,"DiscoveryRail: components/discovery/; DiscoveryRailCanonical: lib/discovery/DiscoveryRailCanonical.tsx","Update all imports; mark DiscoveryRail as LEGACY; confirm DiscoveryRailCanonical output matches old version"
Discovery,UnifiedDiscoveryEngine.ts,ACTIVE,DiscoveryEngine.ts,ORPHAN,UnifiedDiscoveryEngine (canonical),Canonicalization Phase 1 built UnifiedDiscoveryEngine. DiscoveryEngine is orphan. Delete DiscoveryEngine.,HIGH,"UnifiedDiscoveryEngine: lib/discovery/; DiscoveryEngine: likely orphan or duplicate","Delete DiscoveryEngine; verify no imports"
Analytics,AnalyticsEngine.ts,ACTIVE,AnalyticsEngineV2.ts,EXPERIMENTAL,AnalyticsEngine (canonical),V2 is experimental. Consolidate any V2 improvements into canonical v1; delete V2 if no unique value.,MEDIUM,"AnalyticsEngine: lib/analytics/; AnalyticsEngineV2: likely separate branch","Audit V2 for improvements; merge if valuable, delete if not"
Memory/Moments,MemoryWallCanister.tsx,ACTIVE,ActivityTimelineCanister.tsx,ACTIVE,Keep both (different purposes),Memory Wall = personal moments + captures; Activity Timeline = public feed of events. Not true duplicates; contextualize each surface's use.,LOW,"MemoryWallCanister: components/canisters/; ActivityTimelineCanister: components/canisters/","Document when to use each; ensure shared underlying moment data model (Prisma)"
Messaging,MessageEngine.ts,ACTIVE,ChatSystem.tsx,ACTIVE,MessageEngine (backend) + ChatSystem (UI wrapper),Same split as Playlist. Backend owns logic; UI renders. Keep both but ensure single data source.,MEDIUM,"MessageEngine: lib/messaging/; ChatSystem: components/chat/","Split: Engine = logic, ChatSystem = thin render wrapper"
Live Rooms,VenueImmersiveRoom.tsx,ACTIVE,UniversalVenueRenderer.tsx,ACTIVE,UniversalVenueRenderer (canonical),Convergence Phase 2 built UniversalVenueRenderer as unified venue runtime. Replace VenueImmersiveRoom calls with UniversalVenueRenderer.,MEDIUM,"VenueImmersiveRoom: app/live/rooms/; UniversalVenueRenderer: components/venues/","Verify UniversalVenueRenderer has all VenueImmersiveRoom features; redirect route; mark VenueImmersiveRoom LEGACY"
Events,ArenaEventShell.tsx,ACTIVE,CypherRuntimeShell.tsx,ACTIVE,ArenaEventShell (canonical mode: 'cypher'),ArenaEventShell accepts mode prop. Consolidate CypherRuntimeShell as mode='cypher' into ArenaEventShell.,MEDIUM,"ArenaEventShell: components/events/; CypherRuntimeShell: components/events/","Pass mode='cypher' to ArenaEventShell; delete CypherRuntimeShell; update /cypher routes"
Events,ArenaEventShell.tsx,ACTIVE,ChallengeRuntimeShell.tsx,ACTIVE,ArenaEventShell (canonical mode: 'challenge'),ArenaEventShell accepts mode prop. Consolidate ChallengeRuntimeShell as mode='challenge' into ArenaEventShell.,MEDIUM,"ArenaEventShell: components/events/; ChallengeRuntimeShell: components/events/","Pass mode='challenge' to ArenaEventShell; delete ChallengeRuntimeShell; update /challenge routes"
Events,ArenaEventShell.tsx,ACTIVE,BattleRuntimeShell.tsx,ACTIVE,ArenaEventShell (canonical mode: 'battle'),ArenaEventShell accepts mode prop. Consolidate BattleRuntimeShell as mode='battle' into ArenaEventShell.,MEDIUM,"ArenaEventShell: components/events/; BattleRuntimeShell: components/events/","Pass mode='battle' to ArenaEventShell; delete BattleRuntimeShell; update /battles routes"
Events,ArenaEventShell.tsx,ACTIVE,GameShowRuntimeShell.tsx,ACTIVE,ArenaEventShell (canonical mode: 'gameshow') OR separate (higher complexity),GameShowRuntimeShell has custom judge panel + scoring. Determine if merge into ArenaEventShell or keep separate.,MEDIUM,"ArenaEventShell: components/events/; GameShowRuntimeShell: components/events/","Audit GameShowRuntimeShell for unique features; if only scoring differs, merge as mode='gameshow'"
Radio,SocialRadioRoomEngine.ts,PLANNED,N/A,N/A,New system (no duplicate),Radio is Rule 25; no existing radio system yet. Build SocialRadioRoomEngine from scratch using existing components (VenueHUDOverlay + BotDJEngine + PlaylistEngine).,N/A,"Rule 25 infrastructure; audit identifies this as new build","Wire existing systems; build glue layer only"
Commerce,SponsorRegistry.ts,ACTIVE,AdvertiserRegistry.ts,CANDIDATE_DUPLICATE,Audit for separation,SponsorRegistry handles paid sponsors. AdvertiserRegistry handles advertisers + campaigns. Verify separation is intentional (different user types) vs. accidental duplication.,LOW,"SponsorRegistry: lib/commerce/; AdvertiserRegistry: likely in lib/commerce/","If intentional: document the separation. If duplication: merge into unified CommercialRegistry with dual-type support"
Commerce,CheckoutPaymentEngine.ts,ACTIVE,StripeCheckoutFlow.tsx,ACTIVE,CheckoutPaymentEngine (backend) + StripeCheckoutFlow (UI),Same split. Backend owns Stripe API calls; UI renders form. Keep both.,MEDIUM,"CheckoutPaymentEngine: lib/stripe/; StripeCheckoutFlow: app/checkout/","Engine = logic, Flow = UI wrapper"
Performer Data,PerformerRegistry.ts,ACTIVE,PerformerIdentity.ts,ACTIVE,Keep both (complementary),PerformerRegistry = in-memory array of seed data (for launch). PerformerIdentity = TypeScript type + Prisma schema. Not duplicates; different purposes.,LOW,"PerformerRegistry: lib/performers/; PerformerIdentity: types/performers.ts","Document: Registry = seed data; Identity = type definition"
Performer Data,PerformerProfilePage.tsx,ACTIVE,ArtistProfilePage.tsx,CANDIDATE_DUPLICATE,Audit for semantic difference,Both are performer profile pages. Verify they serve different roles (Artist ≠ Performer? Or are they the same thing with rename?),MEDIUM,"PerformerProfilePage: app/performers/[slug]/; ArtistProfilePage: app/artists/[slug]/","If synonymous: consolidate to single canonical route (/artists/[slug] per CLAUDE.md Rule 1)"
Rankings,LeaderboardPage.tsx,ACTIVE,RankingLeaderboard.tsx,ACTIVE,Consolidate if same purpose,Leaderboard and Ranking are nearly synonymous. Verify if both are needed or if one is legacy.,MEDIUM,"LeaderboardPage: app/leaderboards/; RankingLeaderboard: app/rankings/ or components/","If same: delete one, update routes; if different: document context for each"
Bot Systems,BotDJEngine.ts,ACTIVE,HostEngine.ts,ACTIVE,Audit for separation,BotDJEngine is modern (Phase 1); HostEngine may be legacy. Verify BotDJEngine is complete replacement or if HostEngine has unique host-identity features.,HIGH,"BotDJEngine: engines/performance/; HostEngine: lib/hosts/ (if exists)","If BotDJEngine complete: delete HostEngine. If HostEngine has identity logic: extract + merge into MultiPersonaEngine"
Bot Systems,HostIdentityRegistry.ts,ACTIVE,ShowHostRegistry.ts,ACTIVE,Consolidate host registries,Both track host entities. May be pre/post-canonicalization versions. Verify single source of truth.,HIGH,"HostIdentityRegistry: lib/hosts/; ShowHostRegistry: lib/hosts/","Merge into HostCanonicalRegistry; verify all host assignments (Monthly Idol, radio, etc.) use single source"
Host Assignment,HostShowAssignmentEngine.ts,ACTIVE,ShowHostAssignmentEngine.ts,ACTIVE,Singular system (one of these is typo?),Both have nearly identical names. Likely single system with duplicate file.,CRITICAL,"If both exist: file explorer confirms duplication","Delete duplicate; verify single HostShowAssignmentEngine is used everywhere"
Roles/Identity,MultiPersonaEngine.ts,ACTIVE,RoleContext.tsx,ACTIVE,MultiPersonaEngine (backend) + RoleContext (React wrapper),MultiPersonaEngine owns logic; RoleContext provides React context. Keep both.,LOW,"MultiPersonaEngine: lib/identity/; RoleContext: lib/identity/RoleContext.tsx","Engine = logic, Context = React provider"
Roles/Identity,PersonaSwitcher.tsx,ACTIVE,RoleSwitcher.tsx,CANDIDATE_DUPLICATE,Audit for difference,Both switch user personas/roles. Verify they switch between same options (Multi-role identity) or if serving different purposes.,MEDIUM,"PersonaSwitcher: components/auth/; RoleSwitcher: components/auth/","If same: delete one, update all imports. If different: document use cases"
Admin,OverseerDeck.tsx,ACTIVE,AdminOverview.tsx,ACTIVE,Keep both (different surfaces),OverseerDeck = 8-monitor telemetry; AdminOverview = dashboard. Different purposes; not duplicates.,LOW,"OverseerDeck: components/admin/; AdminOverview: app/admin/overview/","Document when to use each"
Admin,OverseerDeck.tsx,ACTIVE,DashboardTelemetryPanel.tsx,CANDIDATE_DUPLICATE,Audit for overlap,Verify OverseerDeck and DashboardTelemetryPanel aren't both rendering telemetry on same surface.,MEDIUM,"If same surface: consolidate to one. If different: document",null
Media Upload,UploadEngine.ts,ACTIVE,MediaUploadFlow.tsx,ACTIVE,Engine (backend) + Flow (UI),Canonical split. Keep both.,LOW,"UploadEngine: lib/uploads/; MediaUploadFlow: components/uploads/","Engine = logic, Flow = UI"
Tickets,TicketEngine.ts,ACTIVE,TicketingCenter.tsx,ACTIVE,Engine (backend) + Center (UI),Canonical split. Keep both.,LOW,"TicketEngine: lib/tickets/; TicketingCenter: app/ticketing/","Engine = logic, Center = UI"
Beat/Music,BeatSubmissionRouter.ts,ACTIVE,BeatQueueEngine.ts,ACTIVE,Keep both (intentional separation per Rule 19),Rule 19 mandates three-engine separation (Submission / Marketplace / Competition). Not duplicates; by design.,NONE,"Rule 19: Beat System Separation + Store Role Split","Keep all three separate (BeatSubmissionRouter, BeatStoreCommerceEngine, CompetitionMusicEngine)"
Beat/Music,BeatStoreCommerceEngine.ts,ACTIVE,BeatMarketplaceUI.tsx,ACTIVE,Engine (backend) + UI,Canonical split. Keep both.,LOW,"BeatStoreCommerceEngine: lib/beat-commerce/; BeatMarketplaceUI: components/marketplace/","Engine = logic, UI = render"
Beat/Music,CompetitionMusicEngine.ts,ACTIVE,BeatRegistry.ts,CANDIDATE_DUPLICATE,Audit for overlap,Verify CompetitionMusicEngine (runtime music for battles) doesn't duplicate BeatRegistry (seed data).,MEDIUM,"CompetitionMusicEngine: engines/competition/; BeatRegistry: lib/beat/","If no overlap: document separation. If overlap: consolidate"
XP,XpActionRegistry.ts,ACTIVE,AchievementEngine.ts,ACTIVE,Keep both (complementary),XpActionRegistry defines what earns XP; AchievementEngine maps XP → Achievements. Not duplicates.,LOW,"XpActionRegistry: lib/xp/; AchievementEngine: lib/achievements/","Registry = actions; Engine = achievement logic"
Venue Data,VenueRegistry.ts,ACTIVE,VenueIdentity.ts,ACTIVE,Keep both (same split as Performer),VenueRegistry = seed data; VenueIdentity = type. Complementary.,LOW,"VenueRegistry: lib/venues/; VenueIdentity: types/venues.ts","Registry = seed data; Identity = type definition"
Sponsor Data,SponsorRegistry.ts,ACTIVE,SponsorIdentity.ts,ACTIVE,Keep both (same split),SponsorRegistry = seed data; SponsorIdentity = type. Complementary.,LOW,"SponsorRegistry: lib/commerce/; SponsorIdentity: types/commerce.ts","Registry = seed data; Identity = type definition"
Magazine,MagazineArticlePage.tsx,ACTIVE,MagazineIssuePage.tsx,ACTIVE,Keep both (hierarchy is valid),Article page ≠ Issue page. Different views of same content hierarchy; not duplicates.,LOW,"MagazineArticlePage: app/magazine/article/; MagazineIssuePage: app/magazine/issue/","Keep both; document hierarchy"
Notifications,NotificationEngine.ts,ACTIVE,PushNotificationSystem.ts,ACTIVE,Audit for overlap,Verify both don't duplicate same functionality (in-app vs. push notifications).,MEDIUM,"If same: consolidate. If different (in-app vs. push): document split"
